Participantes,Dialogo
Rodrigo López Zavala,"Es decir, eh tenemos, pero no obstante el 85% que tenemos de cobertura en en en la matrícula de media superior, 13 de cada 100 jóvenes se están yendo de las aulas. Es decir, tenemos una tasa de abandono alta. Algo hay que hacer, lo que se tenga que hacer desde las instituciones, algo hay que hacer, porque incluso hay una un dato que nos llama mucho la atención: la tasa de abandono; es bajar la tasa de abandono Algo hay que hacer, no se trata de administrar meramente inercias y ver qué qué fuerza del cielo nos llega para resolver este tema, sino que los que estamos al frente de las instituciones tenemos que imaginar acciones no solamente en las instituciones, sino en políticas gubernamentales para ver de qué manera contribuimos a la mejora, en este caso, de la matrícula, mantenerla, la inscripción"
Rodrigo López Zavala,"la tasa inicial es relativamente alta, está por encima de la media nacional, tanto en educación superior como en la universidad. Sin embargo, nuestro tema es la retención de los jóvenes, y les decía que es uno de los puntos que tenemos agendados para nuestras reuniones de CEPEMS y COEPES que vamos a llevar a cabo este mes de junio."
Rodrigo López Zavala,"Estamos trabajando en ello y quise intervenir para confirmar estos datos y compartir la idea de analizar el tema antes del inicio del próximo ciclo escolar Y ese es el motivo por el que desde la subsecretaría hemos considerado incluirlo en la agenda de CEPEMS y COEPES del próximo mes. Muchísimas gracias, saludos a todos."
Participación del Foro ,"Muchas gracias. Buenas tardes a todos, muchas gracias por la oportunidad. Esta ampliación de la matrícula, ampliar la cobertura, se menciona que debe hacerse
con una serie de características, entre ellas la pertinencia. Una de las cosas que nos estamos encontrando en el campo de las tecnologías de la
información es que los programas con los que estamos formando a nuestros estudiantes necesitan modificaciones con una velocidad cada vez mayor, superior a la
velocidad de reacción que pueden tener algunas instituciones de educación superior."
Participación del Foro ,"Y la información sobre cómo, en este mundo de las tecnologías, se están produciendo
los cambios, no surge de las mismas instituciones de educación superior, quizás de
algunos centros de investigación en el campo, pero surge mayoritariamente de
empresas. Y entonces me parece que en esta comisión, en donde esta característica de la creación, que es la pertinencia, tiene que cuidarse."
Participación del Foro ,"Sería importante revisar más allá del
campo de las tecnologías de información, cómo estas también están impactando en
todos los demás campos y cómo necesitamos considerar la revisión de la pertinencia,
no a la luz de lo que tenemos ahorita, porque la velocidad de cambio nos rebasa, sino a
la luz de lo que las tendencias en cada campo van marcando, hacer prospectiva que
nos permita que cuando nuestros estudiantes egresen, ya estén en condiciones de
incorporarse, satisfaciendo las demandas reales de los campos de trabajo, no
necesariamente como empleados, incluso como emprendedores para que puedan
hacer ofertas de servicios o productos coherentes con lo que el mundo económico real está demandando. Creo que ahí
necesitamos también hacer algunas consideraciones importantes para que el análisis
de la pertinencia tenga una visión más hacia futuro y de mediano y largo plazo, que sola
no solamente hacia el presente. Muchas gracias."
María del Rosario Nolasco Fonseca,"solo para empezar, felicitar por el documento, el contenido, el trabajo que explicó el
análisis de esta información y, en mi calidad de responsable de mirar hacia los niveles
educativos previos, que fue un acuerdo en la comisión correspondiente. Debo señalar y también alinearme a lo que la doctora acaba de comentar sobre el nivel
superior y que se acentuó en los años próximos a raíz de la pandemia. En el caso de
Nuevo León, la caída inició en 2017 Perdiendo en cuatro años hasta siete puntos porcentuales en la matrícula de educación
media superior.."
María del Rosario Nolasco Fonseca,"no hemos resentido hasta ahora el efecto en la educación superior,
pero empezamos ya a tener un efecto contrario con una relocalización de la demanda,
que creo que es otro elemento que quisiera también poner sobre la mesa. El elemento de la migración y cómo está reconfigurando la presión sobre la demanda y
oferta de los espacios educativos. En este mismo sentido, también señalar la
importancia de considerar, si no de manera exhaustiva, por lo menos de sin mencionar el comportamiento de los últimos años de la matrícula de educación
secundaria, justo con esta visión de prospectiva y a futuro. lo que estamos enfrentando, por lo menos en Nuevo León y estaremos con el
equipo de la secretaría analizando los datos nacionales, es también que vemos
acercarse una caída en la matrícula de educación secundaria que evidentemente puede
afectar a la educación superior."
María del Rosario Nolasco Fonseca,"Y que nos reta eh no solamente para atender en términos de la migración, sino también
para una menor demanda de las últimas generaciones que egresan."
María del Rosario Nolasco Fonseca,"Por último eh y no menos importante también señalar el elemento del rezago, del
rezago educativo en los últimos años y que deberá ser también considerado eh con
ofertas quizá eh de manera más innovadoras y más flexibles que nos permita una
mirada más amplia, de mayor inclusión No solamente en las opciones escolarizadas, sino también para repensar como país
cuáles deberían ser las estrategias para atender a la población extraedad que tenemos
que estar atendiendo y acercando también a una educación superior.Es cuanto y nuevamente felicidades y gracias por la oportunidad."
José Aguirre Vázquez ,"los comentarios y seguramente  serán muy útiles en la construcción del programa. Un programa que, por supuesto, si bien es cierto, ahora me toca presentarlo, pero es un
trabajo muy i ntensocon la subsecretaría. De hecho, el maestro doctor Ramírez del Raso es una pieza
fundamental en este proceso de recopilación de información, de evidencias. Tenemos un grupo de discusión y de análisis con el que
estamos interactuando con mucha frecuencia, de manera que, bueno, me toca exponerlo, pero hay una gran cantidad de trabajo
colaborativo detrás, donde, bueno, aparte, como ustedes saben, el origen de la información son los formatos 911 que la secretaría de Educación Pública
se encarga de recopilar, y llevamos desde 1968"
 Luis Armando González,"Gracias Pepe. Ahora sí, si nos proyectan el acuerdo, por favor. Entonces, el acuerdo que les proponemos es el siguiente: acuerdo S.O.CONACES.
Octava.7. El CONACES toma nota de la instalación de la comisión para la elaboración del
programa de ampliación de la oferta de educación superior, la designación de los
coordinadores, del programa de trabajo y del cronograma para el desarrollo de sus
objetivos y actividades. Quienes estén en contra, si quieren levantar la mano. Aprobamos por unanimidad, entonces, el acuerdo y solicitamos que se registre."
 Luis Armando González,"El siguiente tema con el que cerramos este punto número siete es el 7.3 relativo al
espacio común de la educación superior. Estará a cargo del doctor Juan Luis Díaz de León, coordinador de la comisión del
espacio común de la educación superior, quien nos hablará de los avances logrados
hasta la fecha. Adelante, por favor, Juan Luis.Adelante,"
Juan Luis Díaz,"buenas tardes
a todos eh un gusto estar aquí con todos ustedes. Me gustaría pedir que la doctora
Rosaura Ruiz nos dieran unos comentarios introductorios acerca de este tema antes de
empezar a dar eh detalles breves sobre la instalación de esta comisión. Doctora, ¿nos
podría apoyar?"
Rosaura Ruiz  ,"Sí, bueno, ese sería el acuerdo para para este punto que eh que iniciara yo y después
eh Juan Luis explicara un un un mayor detalle. La primera cuestión, bueno saludo al presidium y a todos los los participantes, buenas
tardes, ya. Eh miren, creo que la exposición que acaba de hacer eh José eh eh José Aguirre nos
marca la necesidad de ese trabajo colaborativo entre todas las instituciones. Aún las
entidades con mayor avance en educación superior, no tenemos los números que
deberíamos ya a estas alturas del desarrollo que ha tenido México y ni siquiera nos
podemos comparar con otros países de Latinoamérica que han avanzado mucho en
este tema. Pero creo que la información que que él nos da, también yo lo felicito por la
manera en que lo está presentando, mostrando cómo va creciendo la brecha entre los
estados con mayor desarrollo y los que se han quedado sin eh desarrollo por por falta
seguramente de de un apoyo muy consistente, como vimos en Chiapas, en Oaxaca, en
Guerrero, se ha reducido incluso la la la o sea que eh para lograr tener este espacio
común, es decir, este trabajo colaborativo, ese intercambio de profesores, de
estudiantes y bueno, hemos tenido algunos logros, como ha mostrado el estudio que se
hizo en el IISUE, eh recientemente se hizo un análisis de las experiencias que ha habido
en el en los temas de colaboración y movilidad estudiantil y de profesores entre las instituciones de
educación superior del país y vemos que se requiere mucho más trabajo y me da
mucho gusto que haya decidido tanto eh la subsecretaría de educación superior como
ANUIES y también con la participación muy importante de la UNAM"
Rosaura Ruiz  ,"ya decía yo,
particularmente del Instituto de Investigaciones sobre la eh la universidad y la educación
de volver a intentar eh que este programa se haga una realidad, este esta construcción
de ese espacio común de educación superior con esa intensificación de la pequeña
movilidad que existe ahora, de la colaboración que ya existe en otros temas como
inclusive investigación eh ya hablaban de los grados compartidos, eh en fin, eh yo creo
que que es lo que queremos presentarles que lo va a presentar eh Juan Luis es
precisamente cómo pensamos construir esta idea. Ya está aprobada una comisión a propuesta de todas las entidades participantes en
CONACES y ojalá que ahora podamos consolidar este programa en Así es como México lo requiere, ese trabajo de colaboración entre todas las
instituciones, y las más consolidadas apoyando a las nuevas o a las que, por diferentes
razones, no solo no están avanzando, sino que, como vimos en algunos casos, en algunos estados se está retrocediendo.
Entonces, muchas gracias por la confianza al doctor Concheiro, eh, de Luis eh Armando
González Palacios, a la propia secretaria de educación por comisionar a la UNAM y a la SEP para encabezar este proyecto. Ojalá y
contemos con el apoyo de todos, como ya se ha visto, así es, en tanto ya tenemos una
comisión nacional para iniciar los trabajos de la creación del espacio común de
educación superior de México. Muchas gracias."
Juan Luis Díaz,"Muchas gracias, doctora. Este, eh, para beneplácito de todos, voy a ser muy breve"
Juan Luis Díaz,"Esta comisión se instala, la comisión del espacio común de educación superior se
instala en atención al acuerdo número seis de la perdón, al acuerdo número diez de la sexta sesión ordinaria del consejo para la
coordinación de la educación superior y está en seguimiento a la convocatoria que emitió el secretario técnico conjunto de la
misma. En la sesión de instalación se presentaron los antecedentes y se describió el
trabajo previo a la instalación, no lo mencionaré ya, la doctora Rosaura habló un poco al
respecto."
Juan Luis Díaz,"la instalación se llevó a cabo con 26 de los 32 integrantes que confirmaron su
participación. En la misma instalación se acordó designar como coordinadores a la
doctora Rosaura Ruiz Gutiérrez y a un servidor En esta instalación también se presentaron los lineamientos para la operación del
espacio común de la educación superior y se acordó un calendario de sesiones y un
programa de trabajo para 2023 de la comisión."
Juan Luis Díaz,"la comisión no nace vacía, nace ya con documentos de trabajo, que han sido analizados a lo largo de un proceso de varios meses y que este, es
precisamente los lineamientos del común de la educación superior, que en su forma actual con cuatro capítulos y un artículo transitorio. En los primeros
capítulos hablan de las disposiciones generales, los objetivos, las funciones, y especialmente se enmarca este, especialmente se enmarca el el trabajo bajo esta comisión, sobre todo hablando de movilidad y tránsito de estudiantes en el
marco nacional de calificaciones y el sistema nacional de asignación, acumulación y transferencia de créditos académicos en los términos que el artículo 19
de la Ley General de Educación Superior nos indica."
Juan Luis Díaz,"Es importante mencionar que también dentro de las funciones y objetivos de esta
comisión estamos incluyendo la colaboración interinstitucional en el sentido amplio, no solamente en la educación, no solamente en el posgrado, también en las demás
funciones sustantivas que pueden incluir temas como colaboración en proyectos de
investigación, entre otros, ¿no?"
Juan Luis Díaz,"El último capítulo que habla de la operación y la coordinación, describe cómo se integra
este espacio común de la educación superior, las atribuciones de cada uno de sus
actores, así como la manera de trabajar en sus asambleas y en sus comités. A todos ustedes se
les hará llegar este documento oportunamente. En resumen, estamos hablando de 37 artículos distribuidos en estos cuatro capítulos y
un artículo transitorio"
Juan Luis Díaz,"Y finalmente, dentro de esa instalación también se acordó el programa y el cronograma
de actividades para 2023. Por supuesto, se acordó el trabajo continuo a lo largo de todo
el año, ahí se puede puede ver la instalación que ocurrió en el mes de mayo eh dentro de sus actividades
además de la elaboración de los lineamientos del elaboración de dos documentos importantes, un reglamento de
movilidad que puede ser muy útil para dar certeza a a a muchas de las funciones que
queremos que se lleven a cabo dentro de la del ECOES, pero también una elaboración
de un modelo de colaboración en materia de educación, ciencia, tecnología e
innovación eh que creemos que es de suma importancia para todas las instituciones de educación superior"
Juan Luis Díaz,"Finalmente se plantea
que para el mes de noviembre podemos presentar documentos finales al CONACES de
los avances acerca de estos tres tres documentos de trabajo, este uno de los cuales ya
se está presentando eh y y bueno esta es la idea de las actividades que queremos
llevar a cabo. No quisiera terminar mi intervención sin mencionar antes la importancia
de fomentar en todas las entidades federativas que las COEPES eh tengan un comité o
comisión eh análogo a a a esta comisión del CONACES de manera que puedan y
armonizar sus actividades en estos temas con la comisión correspondiente del
CONACES. De mi parte sería todo, muchas gracias."
 Luis Armando González,"muchísimas gracias Juan Luis y eh abrimos entonces la mesa a intervenciones si es que hubiese alguna. el rector de la Universidad Autónoma del Estado de Hidalgo si quiere intervenir ahí lo
tenemos en la pantalla adelante Octavio"
Octavio Castillo Acosta,"saludo a todos los que participan de esta actividad gracias a quienes la presiden. De manera muy breve pero si conceptual quisiera eh sugerir con todo respeto que los
esfuerzos que se realicen al interior de conaces no se vean como esfuerzos aislados sino ya como parte de un todo o de un conjunto así que simple y sencillamente yo quisiera eh dejar dos ideas la primera es que la
Universidad Autónoma del Estado de Hidalgo está y estará dispuesta siempre a participar desde un un punto de vista holístico en el
sistema de educación superior en Hidalgo y en el sistema de educación superior en el
país y bueno hemos dado muestra de ello"
Octavio Castillo Acosta,"y la segunda y última idea es con la que iniciaba conceptualmente si dejo mi comentario
respetuoso de que cualquier esfuerzo que se haga al interior de conaces no se concibe
de manera aislada es decir ya cualquier acción que se determine forma parte de esta gran coordinación
nacional de educación superior de lo contrario vamos a establecer sistemas
independientes y en el sistema que pensemos que creamos sistemas independientes
estaremos pensando en algo en una cosa que no es un sistema en alguna ocasión en torno de un café lo podremos discutir solo quiero dejar eh esta
preocupación conceptual de su servidor muchas gracias"
 Luis Armando González,"gracias rector eh solamente decir que no no es la intención del conaces eh que haya
esfuerzos aislados por el contrario eh se trata de articular los esfuerzos de todas y todos
para lograr un objetivo en común"
 Luis Armando González,"acuerdo S.O.CONACES.8ª.8 El CONACES toma nota de la instalación de la Comisión
del ECOES, la designación de los Coordinadores, así como la propuesta de
lineamientos para el funcionamiento del Espacio Común de Educación Superior y del
cronograma para el desarrollo de los trabajos de la Comisión quienes estén por la
negativa por favor manifiéstenlo ahora aprobamos por unanimidad el acuerdo y solicitamos el registro debido y ahora para continuar con el desahogo de la sesión le devuelvo la palabra al doctor
Luciano Concheiro Luciano"
Francisco Luciano Concheiro Borquez,"muchas gracias Luis Armando entramos al punto número octavo intervención de la
directora general del Consejo Nacional de Humanidades ciencias tecnologías e innovación como mencioné en el mensaje inicial el siguiente
tema es muy importante ya que la entrada en vigor de la Ley General en materia de
humanidades ciencias tecnologías e innovación representa un parteaguas y debemos
comprender muy bien lo que esta norma representa por ello contamos hoy con la
participación de la doctora María Elena Álvarez-Buylla quien como titular del Consejo
Nacional de Humanidades Ciencias y Tecnologías nos comentará el contenido de dicha
de dicha ley sin más comentarios cedo la palabra a la doctora Álvarez-Buylla quien nos
acompaña de modo virtual muchas gracias querida María Elena adelante"
Elena Álvarez-Buylla,"qué tal muchísimas gracias es para mí un honor un gusto estar aquí en esta octava
sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior
aprecio mucho este espacio y como mencionó el subsecretario de Educación Pública a
través del saludo con mucho gusto a la coordinadora nuestra secretaria de educación
pública la licenciada Leticia Ramírez Amaya y le agradezco esta posibilidad de hacer un
resumen dejar claridad y también dejarles una presentación que voy a estar repasando
de manera rápida para no tomar demasiado tiempo pero para que ustedes la tengan a
mano y puedan solventar dudas de sus comunidades"
Elena Álvarez-Buylla,"saludo con muchísimo gusto también y aprecio al doctor Luis Armando González
Placencia secretario general ejecutivo de ANUIES a la doctora Rosa María Torres
Hernández rectora de la Universidad Pedagógica Nacional a la doctora Ofelia Angulo
Guerrero secretaria de Educación Ciencia Tecnología e Innovación de la Ciudad de
México a la doctora Sandra Corona Padilla directora de Educación Media Superior y
Superior y secretaria técnica de la Comisión Estatal para la planeación de la educación
superior en Tlaxcala y también con muchísimo gusto y aprecio me da mucho gusto que ella esté aquí habiendo sido pues una participante fundamental para eh la eh pues
aprobación y eh el mejoramiento de varias partes coordinando desde la presidencia de
la Comisión de Educación de la Cámara de Diputados la diputada Flora Tania Cruz
Santos y por supuesto saludo con muchísimo gusto y aprecio a todas y todos quienes
nos acompañan rectores rectoras en fin todos los miembros sumen los aspectos más
importantes de esta primera ley general tecnologías e innovación"
Elena Álvarez-Buylla,"con base en evidencia eh nos resultó desde inicios
de esta administración fundamental una ley que no permitiese simulaciones y normas a
modo para derivar multimillonarios recursos del pueblo a empresas ¿o pretexto de la
innovación?"
Elena Álvarez-Buylla,"El compromiso de este primer gobierno eh con nuestro presidente, el licenciado Andrés
Manuel López Obrador de la cuarta transformación está fincado en principios muy
claros de honestidad y obviamente también de rigor técnico que son fundamentales
para nuestro sector, pero también para el quehacer del gobierno de un gobierno
honesto. Obviamente también la inclusión, la eficacia, la transparencia, el interés general y por
ello esta primera ley general en materia de HC de México se funda en lo que está hoy
asentado en la Constitución, el derecho humano a la ciencia. Garantiza libertades desde luego, la sagrada libertad de cátedra, de investigación y de
expresión"
Elena Álvarez-Buylla,"Este es el proceso muy resumido y voy a repasar en sus puntos más importantes. Esta
ley no se improvisó, es una ley que mandató el presidente de la República y pidió al
Conacyt como cabeza del sector el coordinar este esfuerzo desde los primeros
momentos del gobierno del licenciado López Obrador quien ha estado a la cabeza del
Consejo General de Investigación Científica y Desarrollo Tecnológica en dos sesiones
en todos los años. Nos enteramos que en años previos al gobierno del licenciado López
Obrador, pues los presidentes generalmente no acudían, no se asociaban, no
sesionaban estos consejos"
Elena Álvarez-Buylla,"Durante estos cuatro años de trabajo se fue dando un seguimiento muy puntual eh a
este desarrollo en este consejo, pues están las representaciones de las universidades a
través de la ANUIES, de las academias, de los investigadores científicos a través de
representantes del ESNI, en fin, y fue ahí también con todos los secretarios de estado
que participan donde se fue dando seguimiento a este proceso eh de integración eh
muy consensuada y muy basada en muchas eh propuestas que el presidente instruyó
eh desde eh el inicio de la gestión y a finales de 2019 se empezó a plasmar ya en un
documento esta propuesta que hoy ya es nuestra primera ley general en HCTI."
Elena Álvarez-Buylla,"El proceso para 2022 había implicado ya el consenso, la discusión colegiada de más de
70.000 personas, además de cientos de instituciones participantes. Este, el ejecutivo
instruyó un proceso de discusión, el La remitió a las comisiones unidas de educación y de CTI y bueno, siguió todo el proceso de discusión en ambas comisiones y finalmente fue aprobada en
el pleno por mayoría y de la misma manera se discutió en las dos comisiones correspondientes de la Cámara de Senadores y fue
aprobada también en el pleno por mayoría."
Elena Álvarez-Buylla,"Tenemos hoy, por lo tanto, ya publicada en el Diario Oficial de la Federación esta
primera ley general en HCTI, Muy rápidamente eh voy a platicar de cuáles son los títulos, son seis, cien artículos."
Elena Álvarez-Buylla,"En el primero se deja muy claro el derecho es acerca del derecho humano a la ciencia
como fundamento de las políticas públicas. En el segundo se establece el sistema nacional de investigación humanística, científica,
tecnológica y de también innovación del sistema nacional y las bases de coordinación,
el tercero, se habla de todos los mecanismos de fomento, financiamiento en las HC, el
cuarto del acceso abierto a la información, esta fue una de las modificaciones muy
virtuosas que se llevaron a cabo en la Cámara de Diputados de subir este tema a nivel
de un título que por sí mismo enfoca la atención en este aspecto tan importante y
fundamental para darle vida a lo que manda nuestra Constitución de cumplir con el
derecho humano a la ciencia.
"
Elena Álvarez-Buylla,"El título quinto tiene ahora integrada la ley orgánica del Consejo Nacional de todos, sino
a favor de intereses creados, que es lo que sucedió en sexenios anteriores. Y el sexto, también esto es muy innovador, integra una propuesta muy benéfica y de
mucha fortaleza para articular las capacidades de los centros públicos de investigación
que son coordinados por el Conacyt en un sistema."
Elena Álvarez-Buylla,"voy a pasar eh muy rápidamente, aquí están mayores detalles de los
capítulos, pero pasamos adelante en aras del tiempo, se los voy a dejar, les voy a dejar
este documento a ustedes a manera de resumen."
Elena Álvarez-Buylla,"el Conacyt ahora con esta H del Consejo Nacional de Humanidades, Ciencias y Tecnologías que se pluraliza para dejar enfatizada algo que nos parece muy importante, la pluralidad epistémica y el respeto estricto a todas las formas útiles para la sociedad
de conocer, de generar conocimiento nuevo y a todas las disciplinas también. Nunca más dejar de lado, por ejemplo, a las humanidades, a las ciencias sociales, a los
saberes comunitarios."
Elena Álvarez-Buylla,"El Conacyt se fortalece como este Consejo Nacional, por lo tanto, de humanidades,
ciencias y tecnologías, los centros públicos de investigación coordinados por el Conacyt, como
acabo de decir, también se fortalecen respetando y asegurando por mandato de ley que no estaba en
ningún documento de este calibre eh legal, jurídico, la autonomía técnica y de gestión de estos centros públicos de investigación y dejar
muy claro que esta es otra mentira malintencionada que se divulgó en algunos medios, no se vulneran derechos laborales porque además no es tocante a esta ley el mandar
sobre los derechos laborales que toca a la ley que tiene que ver el género, la paridad también e inclusión regional, disciplinar. Había instituciones valiosísimas que
están hoy aquí en este Consejo Nacional que no tenían cabida en Conacyt, no tenían
voz ni voto y tampoco tenían ningún tipo de apoyo."
Elena Álvarez-Buylla,"Se integran todas las capacidades del Estado, por ejemplo, el Instituto Nacional de los
Pueblos Indígenas, la Comisión Nacional de Derechos Humanos y varias secretarías que no estaban incluidas y por supuesto, se tienen que incluir todas
aquellas puedes apagar eso todas aquellas secretarías que tienen que ver con el quehacer científico y tecnológico
que ejercen un presupuesto importante en la materia, pero que también hacen
desarrollos de interés social, ambiental, een seguridad, en comunicaciones, en sargazo, en prevención de incendios, etcétera,
como son las y los científicos de altísimo nivel que están en las secretarías de Marina y de la
defensa, no para incluir un enfoque bélico, que dicho sea de paso, sí tenían algunos
proyectos bastante opacos, multimillonarios de eh administraciones pasadas que
además muchas veces ni siquiera se llevaban a cabo, pero eran otro pretexto para
desviar recursos a favor de intereses creados."
Elena Álvarez-Buylla,"Entonces, por supuesto que ni el Conacyt ni la ciencia se militariza en todos los
ámbitos, el quehacer científico tecnológico y de innovación se humaniza. La ciencia no se centraliza tampoco respecto a las competencias de los
estados y municipios, este las facultades son concurrentes entre los tres órdenes de
gobierno por primera vez, porque además ahora es un mandato de ley general que va a
impactar en todos los estados de la República."
Elena Álvarez-Buylla,"se establece eso, repito, respeto estricto y claro a las
competencias de los estados y de los municipios. Se fortalece en las comunidades científicas y tecnológicas. Primero ya antes con nada les
escuchaba con esta preocupación del acceso, pero también de la permanencia. Gracias al Sistema Nacional de Posgrados
que ese fue el otro encargo del presidente, sustentar la ley en experiencias y en demostraciones de concepto. Hoy tenemos en este
Sistema Nacional de Posgrado acordado y también integrado, construido de la mano de la Secretaría de Educación Pública en
particular de la Subsecretaría de Educación Superior. Gracias al excelente trabajo de coordinación de nuestro Subsecretario de
Educación Superior, el Doctor Concheiro, un sistema nacional de posgrados que permite lo que ahora se manda por ley, el acceso universal para
estudiantes de posgrados públicos incluidos los de investigación que son pues los fundamentales en el ámbito de formación de
posgrado eh de alto nivel, pero también los profesionalizantes de interés público y
también plantea un acceso a becas para estudiantes que decidan ingresarse a una universidad privada."
Elena Álvarez-Buylla,"A través de convenios que han sido muy exitosos y que ya están en funcionamiento en el Sistema Nacional de Posgrado, hemos podido, de facto, otorgar becas a todos aquellos estudiantes que las universidades privadas han aceptado y nos han solicitado como parte de un convenio en el que estas universidades no les cobrarán matrícula para que los estudiantes no tengan que gastar su beca en pagar la matrícula."
Elena Álvarez-Buylla,"El Sistema Nacional de Investigadores también se fortalece en esta primera Ley General, se reconoce también la investigación que se realiza en instituciones privadas, solo se evita el subsidio a estas instancias privadas y se solicita un convenio con ellas para que sean las instancias privadas quienes, a través de incentivos,"
Elena Álvarez-Buylla,"Este desfalco al Sistema Nacional de Investigadores ocurrió durante la presidencia del Licenciado Calderón, en la que se decidió subsidiar a un gran número de universidades privadas, dejando a toda la comunidad científica sin recursos, incluso en 2017 y 2018, para hacer ciencia y desarrollar sus proyectos científicos. Entonces, Esto se corrige puesto que se fortalecen estos dos sistemas, como sistemas
eminentemente públicos, pero también convocantes de las capacidades de formación e
investigación de las instituciones privadas mediante convenios que siempre antepongan
el interés público."
Elena Álvarez-Buylla,"El apoyo sostenido a la ciencia básica y aplicada, que es algo que no estaba en la ley y
que permitió al Conacyt dejar sin uso solo peso a toda la comunidad de investigadores
en humanidades, ciencias, tecnologías e innovación, es ahora un mandato de ley"
Elena Álvarez-Buylla,"Es obligación del Estado proveer de un apoyo sostenido y suficiente al desarrollo científico,
tanto ciencia básica y de frontera como ciencia aplicada para garantizar un avance del
conocimiento desde nuestro país y con ellos seguir fortaleciendo y forjando nuestra
soberanía, pero también para apoyar el desarrollo en agendas articuladas prioritarias de
gran interés social y ambiental. Por ejemplo, estamos apoyando con planes muy
innovadores de manejo yprevención de la acumulación de basura, que es una problemática muy importante También se establece un sistema nacional de innovación
que permite apoyar a empresas de base verdaderamente científica y tecnológicapara
promover avances científicos y tecnológicos a favor del país"
Elena Álvarez-Buylla,"Se
plantea de manera muy clara un aumento sostenido del presupuesto.Antes estaban
mencionado el 1%, pero nunca se cumplió y el presupuesto aumentaba y bajaba
dependiendo sobre todo se iban a transferir a grandes corporaciones y a empresas
privadas tanto nacionales como privadas.No correlacionado con el aumento de becas o
con el aumento de la investigación científica en las instituciones públicas, que es el
objetivo principal del apoyo público al desarrollo científico del país.Entonces ahora la
ley, esta primera ley en general establece progresividad y no regresión y también habla
de mecanismos honestos, transparentes que ya han probado suefectividad y eficacia
para la colaboración con el sector privado."
Elena Álvarez-Buylla," En términos de propiedad intelectual se
plantean mecanismos para garantizar un retorno de valor al país y para ir coadyuvando
a favor de la soberanía tecnológica. Con estas transferencias de más de 45,000 millones de pesos en los últimos sexenios,
el país no aumentó en su eficiencia de innovación, sino bajó 16 escalones. Con mucho más gasto, el país logró mucho, mucho menos. Entonces esto se tiene que
evitar evitando proyectos insolventes que nada tienen que ver con el desarrollo
científico y mucho menos con el interés general y además de dar este seguimiento
puntual, de priorizar, también asegurar mecanismos de retorno y que no sea todo a
fondo perdido."
Elena Álvarez-Buylla,"Pero en estos nuevos mecanismos y esto debe quedar muy claro, no se vulneran en lo
absoluto los derechos, por ejemplo, los derechos morales de autoría de las invenciones
y mucho menos se deja de armonizar con la legislación en esta materia de derecho
intelectual y por supuesto también la laboral que ha sido utilizado esto como una
manipulación pues malintencionada. No contraviene los tratados internacionales suscritos tampoco."
Elena Álvarez-Buylla,"insisto, los derechos morales de los investigadores, investigadoras, de las personas que
son inventoras de estos nuevos desarrollos y se establecen mecanismos para establecer
cotitularidad de los derechos patrimoniales o con empresas o con universidades que
son contribuyentes al desarrollo tecnológico y a la innovación en conjunto con el
gobierno federal a través, aumentó ya varios escalones, diez escalones y luego un incremento neto de
seis escalones y vamos por más porque vienen muchos resultados de proyectos que
están dando ya sus primeros frutos."
Elena Álvarez-Buylla,"Hay algunos otros aspectos destacables que me gustaría tocar ya para ir terminando en
toda la ley y esto también se fortaleció eh eh gracias a la al trabajo excelente legislativo
de la Cámara de Diputados y también posteriormente de los senadores, una perspectiva
explícita y contundente de género, acciones afirmativas que nos permiten incluir a los grupos desfavorecidos, no solamente de mujeres."
Elena Álvarez-Buylla,"Reivindica también los saberes y la participación proactiva de las comunidades y
pueblos campesinos, indígenas, afromexicanos en la generación de conocimientos que fortalezcan nuestra soberanía y
el bienestar del pueblo de México. La actividad científica y sus resultados se perciben como un bien de interés público, de
acceso universal y también se establecen mecanismos para colaborar
internacionalmente a favor de la humanidad."
Elena Álvarez-Buylla,"Contempla la erradicación del hostigamiento laboral, del acoso sexual, otras formas de
violencia en razón de género en espacios académicos, es decir, también plantea ahí
sustentos desde la ley para poder establecer reglamentos más sólidos que permeen al
sistema nacional de investigadores, de becas, en general, al sistema nacional de HCTI, una perspectiva de derechos que deben de respetarse de manera irrestricta. La"
Elena Álvarez-Buylla,"Se establece una agenda nacional, integración democrática, líneas de acción en torno a
los asuntos estratégicos y prioritarios para el bienestar del país en materia de HCTI. Reconoce la participación de las autoridades en materia de HCTI de las entidades
federativas. Es un referente para las autoridades del estado mexicano."
Elena Álvarez-Buylla,"No es un instrumento obligatorio para las y los investigadores del país. No restringe los
temas que pueden desarrollar ni los apoyos públicos que pueden  recibir.nacional, que debe integrarse de manera democrática con líneas de acción en torno a
los asuntos prioritarios a favor del bienestar del país en materia de CTI que el hacer humanístico, científico, tecnológico e innovador puede ayudar; reconoce la
participación de las autoridades en materia de CTI de las entidades federativas, como referente para las
autoridades del Estado mexicano para ir sustentando de manera rigurosa las políticas, en general, del Gobierno
de México; no es un instrumento obligatorio para las investigadoras y los investigadores del país, o sea, no
restringe de ninguna manera esta agenda nacional"
